update_time,Nhiệt độ,Thời tiết,Độ ẩm,Hướng gió,location_id,location,scrape_timestamp
19h  25/01/2026,25°C,Đêm nhiều mây,82.0,Lặng gió,27,Thời tiết Sóc Trăng (Tp Cần Thơ),20260125_130531
19h  25/01/2026,16°C,"Nhiều mây, không mưa",89.0,Gió bắc - tốc độ: 1 m/s,28,Thời tiết Hoàn Kiếm (Tp Hà Nội),20260125_130531
19h  25/01/2026,25°C,Đêm nhiều mây,81.0,Gió đông - tốc độ: 2 m/s,29,Thời tiết Bạc Liêu (Cà Mau),20260125_130531
19h  25/01/2026,25°C,Đêm có mây,54.0,Lặng gió,30,Thời tiết Phước Long (Đồng Nai),20260125_130531
19h  25/01/2026,25°C,Đêm nhiều mây,81.0,Gió đông đông nam - tốc độ: 2 m/s,31,Thời tiết Vũng Tàu (Tp Hồ Chí Minh),20260125_130531
19h  25/01/2026,27°C,Đêm nhiều mây,64.0,Gió nam đông nam - tốc độ: 3 m/s,32,Thời tiết Biên Hòa (Đồng Nai),20260125_130531
19h  25/01/2026,18°C,Đêm nhiều mây,87.0,Lặng gió,33,Thời tiết Phố Hiến (Hưng Yên),20260125_130531
19h  25/01/2026,19°C,Đêm nhiều mây,90.0,Gió đông bắc - tốc độ: 1 m/s,34,Thời tiết Nam Định (Ninh Bình),20260125_130531
19h  25/01/2026,28°C,Đêm nhiều mây,56.0,Gió đông bắc - tốc độ: 1 m/s,35,Thời tiết Tây Ninh (Tây Ninh),20260125_130531
19h  25/01/2026,15°C,Đêm nhiều mây,94.0,Lặng gió,36,Thời tiết Hà Giang (Tuyên Quang),20260125_130531
19h  25/01/2026,17°C,Đêm nhiều mây,81.0,Gió đông - tốc độ: 2 m/s,37,Thời tiết Lào Cai (Lào Cai),20260125_130531
19h  25/01/2026,21°C,Đêm có mây,70.0,Gió tây bắc - tốc độ: 1 m/s,38,Thời tiết Mường Thanh (Điện Biên),20260125_130531
